BYHID,BYSID,BYSCLASS,F1H01001,F1H01002,F1H01003,F1H01004,F1H01005,F1H01006,F1H01007,F1H01008,F1H02001,F1H02002,F1H02003,F1H02004,F1H02005C,F1H02006,F1H03001,F1H03002,F1H03003,F1H03004,F1H03005C,F1H03006,F1H04001,F1H04002,F1H04003,F1H04004,F1H04005,F1H05001,F1H05002,F1H05003,F1H06001,F1H06002,F1H06003
30951,3095,2,2001,2,-5,-5,-5,-5,-5,-5,2001,1,3,150,0154,2,-4,-5,-5,-5,-5,-5,150,0,-3,1,-3,100,-4,-4,1,1,2
30961,3096,2,2002,2,-5,-5,-5,-5,-5,-5,2001,1,1,-3,1551,2,2002,1,1,-3,0220,2,-3,50,40000,1,-3,200,0,0,1,1,3
30971,3097,2,2002,2,-5,-5,-5,-5,-5,-5,2001,1,3,500,0170,2,2002,1,3,300,0156,2,800,200,150000,1,60000,300,0,0,1,1,4
30981,3098,2,2002,2,-5,-5,-5,-5,-5,-5,2001,1,3,200,0154,2,2002,1,1,300,0640,2,500,100,27000,2,-5,300,85,35,1,1,1
30991,3099,2,2002,2,-5,-5,-5,-5,-5,-5,2001,1,4,150,0156,2,2002,1,5,-5,1045,2,150,0,4000,2,-5,150,-4,-4,1,1,3
31001,3100,2,2001,2,-5,-5,-5,-5,-5,-5,2001,1,2,70,1490,2,2002,2,-5,-5,-5,2,70,0,0,1,10000,70,0,0,2,3,3
31011,3101,2,2002,2,-5,-5,-5,-5,-5,-5,2001,1,3,200,0142,2,2002,1,5,-5,0142,2,200,-3,13000,1,-3,180,10,-4,1,1,2
31021,3102,2,2001,2,-5,-5,-5,-5,-5,-5,2001,2,-5,-5,-5,2,2002,2,-5,-5,-5,2,80,0,3000,1,5000,80,-4,-4,1,3,2
31051,3105,2,2001,2,-5,-5,-5,-5,-5,-5,2001,1,1,250,0220,2,2002,2,-5,-5,-5,2,250,0,6000,2,-5,250,40,20,1,1,2
31061,3106,2,2001,2,-5,-5,-5,-5,-5,-5,2001,1,2,-2,1490,2,2002,1,2,50,1121,2,50,0,0,2,-5,50,-4,-4,2,3,4
31071,3107,2,2002,2,-5,-5,-5,-5,-5,-5,2001,1,4,450,2322,1,2002,1,5,-5,2322,1,450,0,20000,1,20000,350,20,0,1,1,4
31081,3108,2,2002,2,-5,-5,-5,-5,-5,-5,2001,1,4,200,0151,2,2002,1,2,100,1122,2,300,0,4000,1,2000,300,-4,-4,1,2,2
31091,3109,2,2002,2,-5,-5,-5,-5,-5,-5,2001,1,3,300,0142,2,2002,1,5,-5,0142,2,300,100,25000,2,-5,200,100,50,1,1,1
31101,3110,2,2002,2,-5,-5,-5,-5,-5,-5,2001,1,1,150,1121,2,2002,1,2,50,1332,2,200,10,-3,2,-5,100,0,0,1,1,3
31111,3111,2,2001,2,-5,-5,-5,-5,-5,-5,2001,1,4,180,0931,1,2002,1,2,80,1332,1,260,6,15000,1,5000,250,0,0,1,1,1
31121,3112,2,1002,2,-5,-5,-5,-5,-5,-5,2001,1,1,70,0931,2,2002,1,2,-2,9999,2,70,0,3000,2,-5,50,0,0,1,2,3
31131,3113,2,2002,2,-5,-5,-5,-5,-5,-5,2001,1,1,250,1920,1,2002,1,2,50,0721,2,300,120,5000,2,-5,200,46,25,1,3,3
