BYSID,father_job,col_major,BYS22001,BYS22002,BYS23002,BYS04008,BYS04009,selfConcept_cate,lifeSelfConfidence_cate,emotionalStability_cate,schFacilSatisfi_cate,careerSelfEfficacy_cate,liberalArts_cate,naturalSciences_cate,AT_05,GENDER,teacherRel_cate,J007C
5535,4,4,2,8,1,1,9,2,2,1,2,2,3,2,1,2,1,6
5536,1,4,2,3,1,4,1,3,2,1,3,3,2,3,2,1,1,6
5538,5,4,1,3,1,4,1,3,3,2,4,3,2,4,0,1,1,1
5540,4,4,3,1,1,5,4,3,4,1,3,3,3,1,1,1,1,1
5542,3,4,8,2,1,1,5,3,4,1,3,4,2,3,2,1,2,5
5545,5,4,2,1,1,4,1,3,2,2,3,3,2,3,2,1,1,8
5547,1,3,1,9,1,4,6,3,3,1,3,3,4,1,1,1,1,2
5550,4,0,9,1,8,4,1,3,3,2,3,2,3,3,2,1,1,2
5552,1,3,2,9,1,1,3,3,2,1,2,3,2,4,2,2,1,2
5555,1,5,3,2,1,3,1,3,2,2,3,4,3,1,1,2,1,2
5557,4,0,6,2,1,1,3,3,3,2,3,2,3,2,1,2,1,5
5560,1,0,1,3,9,1,4,2,1,2,1,1,3,2,1,1,1,8
5561,1,0,4,2,1,4,6,3,4,1,1,3,2,2,2,1,1,6
5565,3,4,1,8,2,1,6,3,2,1,1,3,2,3,2,1,1,8
5567,4,0,2,7,3,1,6,3,3,2,2,3,3,1,0,1,1,8
5568,5,5,3,1,3,4,5,2,2,1,1,3,2,1,1,2,2,2
5569,4,7,2,1,1,3,1,2,1,1,3,2,1,2,0,2,1,6
5570,4,7,1,3,1,3,6,2,2,2,3,2,2,3,1,2,1,1
5573,4,1,1,7,3,3,5,2,3,2,3,3,2,2,2,2,1,5
5577,1,1,2,9,8,1,4,3,3,2,2,3,4,1,1,2,2,5
5579,4,4,3,6,2,1,2,2,2,1,2,3,2,3,2,1,2,6
5582,2,4,3,8,2,4,3,3,3,2,3,3,3,4,0,1,1,1
5583,3,4,1,8,1,6,9,3,3,1,3,3,3,4,2,1,1,6
5584,3,6,2,1,3,1,4,3,2,1,3,3,2,3,1,1,1,1
5585,4,2,2,3,2,4,6,3,4,2,3,3,3,3,1,1,1,6
5588,4,1,2,1,1,5,3,3,3,1,3,4,4,3,0,2,1,1
5590,4,2,1,9,3,4,6,3,3,1,3,4,3,1,1,1,1,2
5596,5,2,1,8,1,4,7,3,3,1,2,4,3,2,1,1,1,1
5599,4,7,1,3,1,3,6,3,4,1,3,4,2,2,2,2,1,1
5600,1,7,3,2,1,5,6,3,4,1,2,2,3,3,1,1,1,5
