BYSID,J007C
2298,1332
2298,1331
2298,1331
2298,1331
2298,1332
2302,721
2302,721
2303,652
2304,679
2305,1582
2305,1250
2305,1650
2309,1032
2309,1411
2310,1970
2310,1970
2311,1331
2311,1490
2311,1583
2311,1583
2313,228
2315,721
2315,460
2315,711
2316,241
2316,1112
2316,1045
2321,220
2321,220
2321,252
2321,220
2324,1970
2326,1331
2326,1331
2326,1331
2327,1331
2327,1032
2327,1032
2327,1032
2327,1032
2327,1119
2328,843
2328,1331
2329,1032
2329,1490
2329,1490
2329,1490
2329,1110
2329,1119
2329,1032
2331,220
2332,156
2332,1510
2333,1045
2333,2121
2333,1331
2333,663
2333,663
2335,1112
2336,1034
2336,1332
2336,1045
2336,1331
2336,1332
2336,1112
2336,1032
2336,252
2336,674
2337,1331
2337,889
2337,1264
2338,1331
2338,217
2338,664
2338,664
2339,640
2342,1331
2342,220
2342,220
2345,1043
2346,1331
2346,462
2346,1032
2346,879
2347,1331
2347,1331
2349,1237
2349,1234
2349,1234
2351,2023
2354,220
2354,220
2354,520
2354,1045
2355,462
2355,413
2356,1310
2356,2121
2356,2121
2357,321
2357,220
2357,220
2361,952
2361,1121
2362,2127
2362,2127
2362,1332
2362,2127
2362,2127
2362,2127
2362,712
2371,1045
2371,1045
2371,721
2372,1212
2372,1212
2372,1212
2372,1219
2372,1212
2373,663
2373,663
2373,663
2378,1331
2380,1264
2380,1331
2380,2410
2380,2410
2380,2410
2382,451
2385,1331
2387,1045
2388,1581
2388,1032
2389,722
2389,1330
2391,1310
2391,462
2391,1310
2393,220
2396,1032
2398,1234
2398,1234
2398,1234
2399,1121
2399,2212
2400,1032
2400,222
2400,1264
2400,1032
2400,1031
2400,2127
2402,1331
2404,1119
2405,223
2407,1045
2407,1540
2407,1032
2408,1032
2408,1045
2408,1032
2408,1045
2408,1032
2408,1032
2410,1332
2410,1523
2414,462
2414,462
2416,1331
2418,1970
2418,1970
2418,1970
2419,1043
2421,1250
2421,242
2421,1045
2421,1032
2422,1045
2422,1032
2422,462
2422,462
2425,1032
2425,1045
2425,252
2425,252
2429,315
2429,220
2430,1052
2430,1052
2430,1032
2430,1052
2431,453
2431,721
2431,721
2433,663
2433,663
2436,1045
2436,911
2437,1032
2437,225
2439,2271
2439,1970
2440,312
2440,332
2440,321
2441,1032
2443,1331
2443,1045
2443,1250
2443,1250
2443,225
2444,1121
2447,223
2447,1043
2447,959
2449,911
2449,911
2449,911
2450,1710
2450,1271
2452,1331
2452,252
2453,1114
2453,1250
2454,1044
2454,2410
2458,1045
2458,1045
2458,1139
2459,1032
2459,1032
2459,1032
2459,1331
2460,252
2460,1313
2462,1043
2462,1032
2462,1581
2468,1045
2468,1032
2468,1331
2468,226
2470,1032
2470,442
2470,1132
2471,1331
2471,721
2471,721
2475,1331
2475,1032
2476,1032
2476,2269
2477,243
2481,1045
2481,1331
2483,462
2485,1052
2487,1319
2487,1032
2487,1319
2487,1032
2487,1213
2488,1331
2488,156
2489,1045
2490,2127
2491,1331
2491,1045
2491,2127
2491,2127
2492,1121
2494,462
2494,1034
2494,640
2494,640
2495,2028
2497,1331
2497,1331
2499,1045
2503,2242
2503,1032
2503,845
2506,462
2507,959
2507,2271
2507,2253
2507,1931
2507,1950
2508,1044
2508,1032
2508,1250
2508,242
2511,1331
2511,1331
2511,1310
2512,1119
2512,252
2517,462
2519,1045
2519,1331
2519,1045
2519,1331
2525,1582
2526,252
2526,1222
2528,1970
2528,1970
2528,1551
2528,1970
2528,1970
2529,1331
2529,1032
2529,1032
2530,1331
2530,421
2530,1250
2532,1045
2532,1331
2532,221
2533,1032
2533,1723
2533,1970
2535,1331
2537,1331
2537,1331
2537,1331
2537,1331
2537,1331
2537,1331
2537,1331
2537,1331
2540,1331
2540,1331
2540,1045
2540,1032
2540,242
2540,242
2541,1331
2541,1032
2541,1222
2541,1222
2541,1045
2541,1313
2541,1313
2542,2127
2543,1250
2543,1032
2543,1332
2543,228
2544,1222
2544,1032
2544,252
2544,222
2545,1331
2545,2212
2545,252
2545,520
2545,2212
2545,2212
2546,1313
2547,1045
2548,462
2548,462
2548,241
2549,1970
2549,1032
2552,1331
2552,224
2554,1331
2554,1331
2554,1331
2554,1331
2554,1331
2554,1970
2554,442
2554,224
2557,1264
2557,1264
2559,1331
2559,1331
2559,1331
2559,1331
2559,1331
2560,1310
2560,1310
2560,1310
2560,221
2562,1331
2562,1331
2564,1043
2566,1331
2566,462
2566,462
2566,1045
2566,1045
2566,462
2566,462
2568,1331
2568,677
2568,677
2570,1219
2570,1212
2573,1490
2574,462
2575,1331
2575,1032
2575,1250
2575,1250
2575,241
2575,1331
