BYSID,Influence_cate,Influence_cate_one,Feeling_cate,consideration_cate,Intuition_cate,Sensing_cate,GENDER,jobselect1st,jobselect2nd,jobSuccess,careerMaturity_cate,selfConcept_cate,lifeSelfConfidence_cate,emotionalStability_cate,schLecSatisfi_cate,schFacilSatisfi_cate,teacherRel_cate,careerInfo_cate,selfUnderstanding_cate,careerSelfEfficacy_cate,liberalArts_cate,naturalSciences_cate,foreignLanguage_cate,physical_cate,faAttention_cate,moAttention_cate,BYS22001,BYS22002,BYS23002,BYS23003,BYS23004,BYS04008,BYS04009,sch_code,AT_05,club,father_job,col_major,h_major,col_major,LN_house_income,house_income_cat,J007C
5120,2,1,1,1,2,1,2,1,2,1,4,3,3,2,2,2,1,3,4,4,2,2,2,5,3,3,2,3,1,2,4,1,7,8,1,21,4,7,1,7,5.991464547,4,1
5121,1,0,0,1,1,1,1,1,2,1,2,3,3,1,3,3,1,3,2,2,3,2,4,3,3,4,8,6,1,2,4,1,4,8,1,0,4,2,1,2,5.438079309,3,2
5122,2,1,1,1,1,2,1,1,2,1,2,3,3,2,2,2,1,3,3,2,1,4,2,2,3,3,1,2,1,7,2,4,1,9,2,24,1,4,2,4,6.396929655,5,1
5126,1,0,1,1,1,1,2,2,1,1,2,3,3,1,4,2,1,2,2,3,3,1,3,3,4,4,8,2,3,1,2,3,4,8,1,24,4,2,1,2,5.480638923,3,1
5127,1,0,1,1,1,1,1,2,2,1,3,2,3,2,2,3,1,3,3,3,2,2,1,4,3,4,3,1,2,7,2,2,4,9,2,0,4,2,2,2,6.204557763,4,4
5129,1,0,1,1,2,1,1,1,2,1,3,3,3,2,3,2,1,3,3,3,1,3,2,4,4,4,1,9,1,2,2,1,4,9,2,0,2,4,2,4,5.272999559,2,1
5130,1,0,1,1,1,1,2,2,1,1,3,2,2,2,3,3,1,3,3,2,2,2,3,3,3,2,2,7,3,1,3,3,1,9,2,0,3,2,2,2,5.272999559,2,3
5131,2,1,1,2,1,1,2,1,1,1,2,3,3,1,2,3,1,2,2,2,2,1,3,3,3,3,2,6,1,8,4,3,6,8,1,21,1,2,1,2,5.686975356,3,1
5144,1,0,1,1,1,1,2,1,2,1,3,4,3,1,2,3,1,2,4,3,3,2,3,3,4,4,6,1,1,9,2,1,4,8,1,0,5,2,1,2,5.799092654,4,2
5146,1,0,1,1,1,1,2,1,1,1,3,2,2,3,2,3,2,3,3,2,3,3,3,4,2,3,2,7,1,4,4,8,2,9,2,21,3,2,2,2,6.684611728,5,1
5148,1,0,1,1,1,2,1,2,1,2,4,3,3,1,2,2,1,4,4,3,2,1,1,4,3,4,3,1,2,1,1,9,1,10,1,0,1,7,3,7,5.703782475,3,1
5151,1,0,1,1,2,2,2,2,1,1,3,3,3,2,1,3,1,4,4,2,3,1,3,4,4,4,1,3,2,1,3,1,3,8,1,26,3,2,1,2,4.976733742,2,1
5153,1,0,1,1,2,1,2,1,1,1,3,2,3,1,3,3,1,3,3,3,2,1,2,3,2,3,6,2,1,4,2,6,9,10,1,26,4,7,3,7,4.553876892,1,2
5154,1,0,0,1,1,1,1,1,2,1,3,3,2,1,3,3,1,4,3,3,3,1,3,4,4,4,1,2,1,6,2,4,6,8,1,30,4,1,1,1,5.347107531,3,1
5157,1,0,1,1,1,1,2,1,1,1,3,3,2,1,3,2,1,3,2,3,2,3,3,2,4,3,2,10,1,4,2,1,3,9,2,19,1,0,2,0,5.828945618,4,1
5158,1,0,2,2,0,1,2,1,2,1,2,3,2,1,2,2,1,3,3,2,4,1,3,1,3,3,2,1,1,3,4,1,5,8,1,0,1,1,1,1,6.543911846,5,1
5160,2,1,0,2,1,1,1,2,1,1,3,3,3,2,2,4,1,4,4,3,3,3,2,4,3,4,3,10,2,5,3,1,4,8,1,24,0,0,1,0,5.164785974,2,4
5161,1,0,0,1,1,1,2,2,2,1,3,3,2,1,3,3,1,3,2,3,3,3,4,3,3,4,8,2,7,2,4,1,2,9,2,29,3,5,2,5,6.551080335,5,2
5164,2,1,1,2,2,2,1,2,2,2,2,3,3,1,3,2,1,1,2,3,3,2,3,4,2,3,3,1,2,7,7,4,5,9,2,15,4,4,2,4,5.669880923,3,1
5174,2,1,1,2,1,1,1,2,1,1,2,4,4,1,2,2,1,3,2,2,1,3,3,5,4,5,3,1,2,1,2,4,5,9,2,0,3,0,2,0,5.978885765,4,4
5177,1,0,1,2,1,1,1,2,2,1,4,4,4,2,2,3,1,4,4,4,3,3,3,2,3,4,1,3,2,3,4,6,1,9,1,0,4,4,2,4,5.521460918,3,2
5178,1,0,1,1,1,1,1,1,2,1,3,3,3,2,3,3,1,3,3,4,2,3,2,4,4,4,1,2,1,2,2,3,4,9,2,3,4,4,2,4,4.317488114,1,4
5181,1,0,0,2,2,1,2,2,1,2,3,2,2,1,3,3,1,3,4,3,2,2,3,2,3,4,1,3,2,1,1,3,1,8,1,17,4,0,1,0,5.686975356,3,1
5183,1,0,0,1,1,1,2,1,1,1,3,3,2,1,3,3,1,4,3,3,3,2,3,2,3,3,2,1,1,5,2,3,1,8,1,19,4,0,1,0,5.703782475,3,3
5189,2,1,1,2,1,1,1,1,2,1,4,4,5,2,1,2,1,4,4,4,3,3,5,5,3,4,3,5,1,3,2,8,1,8,0,15,5,7,1,7,6.109247583,4,1
5190,2,1,1,1,1,2,2,1,2,1,3,3,3,1,3,3,1,3,3,3,2,2,2,2,3,3,2,1,1,9,2,5,1,8,1,0,5,2,1,2,4.9698133,2,1
5195,0,0,1,2,2,1,1,1,2,1,3,3,2,2,2,3,1,2,3,3,2,4,4,5,4,4,8,10,1,3,4,4,6,9,0,0,4,4,2,4,5.686975356,3,1
5196,2,1,1,2,2,1,1,1,2,1,4,3,4,2,2,3,1,4,5,4,1,2,1,4,2,2,2,1,1,3,2,4,5,8,0,0,0,0,4,0,5.37815,3,4
5198,1,0,1,2,2,2,1,2,2,1,3,3,3,1,2,2,1,3,4,3,3,3,3,4,3,3,1,10,9,2,2,1,3,8,1,0,4,0,1,0,5.736572297,4,2
5199,2,1,1,1,1,2,1,1,2,2,3,2,3,1,2,2,1,2,2,3,2,2,2,4,3,3,1,2,1,6,1,7,1,9,2,1,4,4,2,4,5.247024072,2,3
5200,1,0,0,2,1,1,1,2,2,1,3,3,3,1,3,3,1,3,3,3,1,2,2,3,3,4,8,9,3,7,3,3,1,9,2,0,3,4,2,4,6.388561406,5,3
5203,2,1,1,1,1,1,2,1,1,1,3,3,3,1,3,2,1,3,4,2,3,4,3,3,3,3,6,2,1,4,4,1,4,9,2,0,1,0,2,0,5.991464547,4,1
5204,2,1,1,2,2,2,1,2,2,1,4,3,3,2,2,1,1,4,4,4,2,3,3,4,3,3,1,8,7,9,4,1,4,9,2,0,4,0,2,0,5.438079309,3,2
5206,1,0,1,1,1,2,1,2,2,1,3,3,3,1,3,3,1,3,4,1,3,1,2,5,3,4,1,8,3,6,3,1,2,8,1,15,0,0,1,0,4.976733742,2,3
5211,1,0,1,1,1,1,1,1,1,1,4,3,3,2,2,3,1,4,4,3,3,3,2,3,3,3,1,10,1,4,2,1,4,8,0,24,4,4,1,4,5.192956851,2,3
5213,2,1,1,1,2,2,1,2,1,1,3,3,3,2,3,3,1,4,4,3,2,2,2,4,3,3,3,6,2,4,4,6,1,8,1,26,5,7,1,7,5.669880923,3,3
5215,1,0,1,1,2,1,1,2,2,1,3,2,2,1,3,3,1,3,3,2,3,1,3,5,3,3,1,3,3,2,2,4,3,8,1,0,1,1,1,1,5.272999559,2,4
